2021/11/12,20.5,8,1
2021/11/13,19.6,8,1
2021/11/14,20.6,8,1
2021/11/15,21.4,8,1
2021/11/16,21.9,8,1
2021/11/17,22.8,8,1
2021/11/18,22.0,8,1
2021/11/19,22.9,8,1
2021/11/20,23.6,8,1
2021/11/21,24.6,8,1
2021/11/22,21.9,8,1
2021/11/23,19.3,8,1
2021/11/24,19.4,8,1
2021/11/25,18.8,8,1
2021/11/26,21.1,8,1
2021/11/27,20.5,8,1
2021/11/28,21.6,8,1
2021/11/29,20.8,8,1
2021/11/30,22.3,8,1
2021/12/1,18.5,8,1
2021/12/2,17.6,8,1
2021/12/3,18.2,8,1
2021/12/4,18.8,8,1
2021/12/5,19.7,8,1
2021/12/6,21.1,8,1
2021/12/7,20.7,8,1
2021/12/8,19.9,8,1
2021/12/9,20.5,8,1
2021/12/10,21.0,8,1
2021/12/11,21.1,8,1
2021/12/12,20.9,8,1
